ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
8090664,0.0167,0.00000128,-7.0812104,5.03385,-0.48107547,ASTE1,asteroid homolog 1 (Drosophila)
7944554,0.0167,0.00000174,6.9220495,4.7873,0.73878201,TMEM136///TMEM136,transmembrane protein 136///transmembrane protein 136
8156134,0.0167,0.00000213,-6.8173105,4.62265,-0.90038143,NTRK2,neurotrophic receptor tyrosine kinase 2
8135909,0.0167,0.0000027,-6.6964645,4.43031,-3.03115705,LEP,leptin
8147019,0.0253,0.00000511,6.3749706,3.90627,0.87168461,ZC2HC1A,zinc finger C2HC-type containing 1A
8132118,0.0304,0.00000735,-6.195161,3.60541,-0.70138187,AQP1///AQP1,aquaporin 1 (Colton blood group)///aquaporin 1 (Colton blood group)
8068168,0.0319,0.000009,6.0957104,3.43665,0.58746812,SOD1,"superoxide dismutase 1, soluble"
7918622,0.0389,0.00001262,-5.9311976,3.15384,-0.52821199,SLC16A1,solute carrier family 16 member 1
7946067,0.0389,0.0000143,5.8708329,3.04894,0.48163494,OR51B4,olfactory receptor family 51 subfamily B member 4
7999384,0.0389,0.0000157,5.8258843,2.97044,0.67664969,,
8105495,0.0457,0.00002027,5.7033432,2.75478,0.70432329,PART1,prostate androgen-regulated transcript 1 (non-protein coding)
8154135,0.0529,0.00002559,5.5924351,2.55753,0.50190503,SLC1A1,solute carrier family 1 member 1
7946071,0.054,0.00003113,5.4997482,2.39121,0.56436725,OR51B5,olfactory receptor family 51 subfamily B member 5
7907572,0.054,0.00003476,-5.4477958,2.29742,-1.27380825,PAPPA2,pappalysin 2
8041508,0.054,0.00003598,-5.4316304,2.26815,-0.87036297,QPCT,glutaminyl-peptide cyclotransferase
8082643,0.054,0.00003619,-5.4288407,2.26309,-0.60892229,NEK11,NIMA related kinase 11
8030181,0.054,0.0000431,-5.3469332,2.11416,-1.94220724,CGB2///CGB1///CGB8///CGB7///CGB5///LHB///CGB3///CGB7,chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///luteinizing hormone beta polypeptide///chorionic gonadotropin beta subunit 3///chorionic gonadotropin beta subunit 7
8038280,0.054,0.00004439,-5.333074,2.08887,-2.0456725,CGB2///CGB1///CGB8///CGB7///CGB5///LHB///CGB3///CGB7,chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///luteinizing hormone beta polypeptide///chorionic gonadotropin beta subunit 3///chorionic gonadotropin beta subunit 7
8038288,0.054,0.00004561,-5.3204349,2.06577,-2.01347375,CGB2///CGB1///CGB8///CGB7///CGB5///LHB///CGB3///CGB7,chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///luteinizing hormone beta polypeptide///chorionic gonadotropin beta subunit 3///chorionic gonadotropin beta subunit 7
8092707,0.054,0.00004728,5.3036562,2.03508,0.70836021,P3H2,prolyl 3-hydroxylase 2
7932407,0.054,0.00004822,-5.2944418,2.0182,-0.49919617,ST8SIA6,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
8038292,0.054,0.0000527,-5.2529852,1.94214,-2.03975477,CGB2///CGB1///CGB8///CGB7///CGB5///LHB///CGB3///CGB7,chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///luteinizing hormone beta polypeptide///chorionic gonadotropin beta subunit 3///chorionic gonadotropin beta subunit 7
8136863,0.054,0.000054,5.2416906,1.92137,0.50419113,TMEM139,transmembrane protein 139
8044353,0.054,0.00005668,5.2191226,1.87982,1.04381849,ACOXL,acyl-CoA oxidase-like
8030187,0.054,0.00005891,-5.2011929,1.84676,-2.02250412,CGB2///CGB1///CGB8///CGB7///CGB5///LHB///CGB3///CGB7,chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///luteinizing hormone beta polypeptide///chorionic gonadotropin beta subunit 3///chorionic gonadotropin beta subunit 7
8065433,0.054,0.00006048,5.1889318,1.82413,0.43514137,APMAP,adipocyte plasma membrane associated protein
