ID,adj.P.Val,P.Value,t,B,logFC,miRNA_ID,SPOT_ID
hsa-miR-210-3p,0.413,0.000161,-8.230925,0.606,-1.5761454,hsa-miR-210-3p,
hsa-miR-584-5p,0.589,0.000556,6.580607,-0.119,0.9227265,hsa-miR-584-5p,
hsa-let-7c-5p,0.589,0.000939,-5.969214,-0.466,-1.28637141,hsa-let-7c-5p,
hsa-miR-21-3p,0.589,0.000954,-5.951778,-0.477,-0.65005204,hsa-miR-21-3p,
hsa-let-7b-5p,0.589,0.001298,-5.613075,-0.692,-1.93250122,hsa-let-7b-5p,
hsa-miR-450a-1-3p,0.589,0.002447,4.959922,-1.158,0.15811457,hsa-miR-450a-1-3p,
hsa-miR-224-3p,0.589,0.002521,4.930644,-1.181,1.36620422,hsa-miR-224-3p,
hsa-miR-210-5p,0.589,0.002571,-4.911193,-1.196,-0.09353269,hsa-miR-210-5p,
hsa-miR-708-5p,0.589,0.002804,-4.826572,-1.262,-0.1039254,hsa-miR-708-5p,
hsa-miR-6828-3p,0.589,0.002945,4.779284,-1.3,0.07388375,hsa-miR-6828-3p,
hsa-miR-224-5p,0.589,0.003096,4.73132,-1.339,1.51619035,hsa-miR-224-5p,
hsa-miR-301a-3p,0.589,0.003451,4.628108,-1.423,0.63108061,hsa-miR-301a-3p,
hsa-miR-378i,0.589,0.003628,4.580825,-1.463,0.67340658,hsa-miR-378i,
hsa-miR-378a-3p,0.589,0.00399,4.49217,-1.538,0.61135821,hsa-miR-378a-3p,
hsa-miR-7515,0.589,0.003998,-4.490433,-1.539,-0.23580776,hsa-miR-7515,
hsa-miR-21-5p,0.589,0.004407,-4.40062,-1.617,-1.25946355,hsa-miR-21-5p,
hsa-miR-7705,0.589,0.004532,4.375037,-1.639,0.06943876,hsa-miR-7705,
hsa-miR-4777-3p,0.589,0.005122,4.26408,-1.737,0.06823495,hsa-miR-4777-3p,
hsa-miR-8080,0.589,0.005245,4.242833,-1.757,0.08961506,hsa-miR-8080,
hsa-miR-138-5p,0.589,0.005854,4.144873,-1.846,0.79666274,hsa-miR-138-5p,
hsa-miR-526b-3p,0.589,0.005941,4.131891,-1.858,0.39623324,hsa-miR-526b-3p,
hsa-miR-4471,0.589,0.006634,4.03501,-1.948,0.0807736,hsa-miR-4471,
hsa-miR-6753-3p,0.589,0.006808,-4.012461,-1.969,-0.18845658,hsa-miR-6753-3p,
hsa-miR-138-1-3p,0.589,0.007043,-3.983021,-1.997,-0.07628769,hsa-miR-138-1-3p,
hsa-miR-95-3p,0.589,0.007552,-3.922706,-2.055,-0.62303614,hsa-miR-95-3p,
hsa-miR-132-3p,0.589,0.007934,-3.880457,-2.096,-0.56090957,hsa-miR-132-3p,
hsa-miR-3654,0.589,0.007975,-3.876084,-2.1,-0.11750506,hsa-miR-3654,
hsa-miR-1246,0.589,0.008004,-3.873004,-2.103,-3.35531008,hsa-miR-1246,
hsa-miR-520b,0.589,0.008239,3.848321,-2.127,0.76239777,hsa-miR-520b,
hsa-miR-551b-3p,0.589,0.008339,3.837994,-2.138,1.88169651,hsa-miR-551b-3p,
hsa-miR-1301-3p,0.589,0.008493,3.822452,-2.153,0.14210941,hsa-miR-1301-3p,
hsa-miR-4528,0.589,0.008919,3.781113,-2.194,0.07625295,hsa-miR-4528,
hsa-miR-532-3p,0.589,0.009502,3.727792,-2.247,0.52454231,hsa-miR-532-3p,
hsa-miR-139-5p,0.589,0.009997,3.685417,-2.29,0.3088561,hsa-miR-139-5p,
hsa-miR-6801-5p,0.589,0.010103,-3.676578,-2.298,-0.06142549,hsa-miR-6801-5p,
hsa-miR-6787-5p,0.589,0.010409,-3.651774,-2.324,-0.08704133,hsa-miR-6787-5p,
hsa-miR-4730,0.589,0.01048,3.646152,-2.329,0.057868,hsa-miR-4730,
hsa-miR-6785-5p,0.589,0.010527,-3.642428,-2.333,-0.7929913,hsa-miR-6785-5p,
hsa-let-7b-3p,0.589,0.010609,3.636051,-2.34,0.07789733,hsa-let-7b-3p,
hsa-miR-6771-5p,0.589,0.010663,-3.631842,-2.344,-0.10640228,hsa-miR-6771-5p,
hsa-miR-2114-3p,0.589,0.010812,-3.62031,-2.356,-0.15065392,hsa-miR-2114-3p,
hsa-miR-378a-5p,0.589,0.010917,3.612375,-2.364,0.15898635,hsa-miR-378a-5p,
hsa-miR-452-5p,0.589,0.010972,3.608226,-2.368,1.01888442,hsa-miR-452-5p,
hsa-miR-429,0.589,0.011013,-3.605137,-2.371,-0.13548184,hsa-miR-429,
hsa-miR-874-5p,0.589,0.011672,3.557303,-2.421,0.14462225,hsa-miR-874-5p,
hsa-miR-520c-3p,0.589,0.012004,3.534399,-2.444,1.2001202,hsa-miR-520c-3p,
